,brick row,shoe column,shoe row,results
138,10,1,4,9.94756941896799e-07
139,10,1,5,1.2982432828761376e-06
140,10,1,6,1.7267362488885857e-06
141,10,1,7,2.3473879792169072e-06
142,10,1,8,3.2734218902945776e-06
143,10,1,9,4.704017860090617e-06
144,11,2,1,3.667413613044716e-07
145,11,2,10,3.5579830469881742e-06
146,11,2,11,5.061881835021185e-06
147,11,2,12,7.442284395541404e-06
148,11,2,13,1.1381948188134323e-05
149,11,2,14,1.8263003198087507e-05
150,11,2,15,3.110532212220375e-05
151,11,2,16,5.716903532455582e-05
152,11,2,17,0.00011625074726724607
153,11,2,18,0.00027309749398851457
154,11,2,2,4.4707551499407e-07
155,11,2,3,5.505990733968294e-07
156,11,2,4,6.858062152169912e-07
157,11,2,5,8.650351351883907e-07
158,11,2,6,1.1065933190751595e-06
159,11,2,7,1.4382774922890919e-06
160,11,2,8,1.9034068936463973e-06
161,11,2,9,2.571508638997895e-06
162,11,3,1,2.8401925964328646e-07
163,11,3,10,2.7630110738769153e-06
164,11,3,11,3.933886416152581e-06
165,11,3,12,5.7895706750863805e-06
166,11,3,13,8.866007225670838e-06
167,11,3,14,1.4251508814282877e-05
168,11,3,15,2.4333727684124535e-05
169,11,3,16,4.4884220419017076e-05
170,11,3,17,9.175739027348369e-05
171,11,3,18,0.00021738373700257881
172,11,3,2,3.462806696957185e-07
173,11,3,3,4.2653233046494367e-07
174,11,3,4,5.313722269022333e-07
175,11,3,5,6.703889011786101e-07
176,11,3,6,8.578179983852501e-07
177,11,3,7,1.1152885015976466e-06
178,11,3,8,1.4765350074538623e-06
179,11,3,9,1.9957545489389495e-06
180,11,4,1,4.3564090921915613e-07
181,11,4,10,4.361635966950156e-06
182,11,4,11,6.260206540320998e-06
183,11,4,12,9.310683557402237e-06
184,11,4,13,1.4459832156841909e-05
185,11,4,14,2.3694758160284808e-05
186,11,4,15,4.1568952923173616e-05
187,11,4,16,7.974004622385823e-05
188,11,4,17,0.00017265388330968228
189,11,4,18,0.0004431177591080796
190,11,4,2,5.318986352700898e-07
191,11,4,3,6.562561806562908e-07
192,11,4,4,8.191534299254487e-07
193,11,4,5,1.035839052431745e-06
194,11,4,6,1.3290866920828175e-06
195,11,4,7,1.7337424611401765e-06
196,11,4,8,2.3046172831474884e-06
197,11,4,9,3.130676741734377e-06
198,11,1,1,3.2558805486192037e-07
199,11,1,10,3.273425132077222e-06
200,11,1,11,4.704022492557084e-06
201,11,1,12,7.007531054892839e-06
202,11,1,13,1.0907146886451345e-05
203,11,1,14,1.7929741197529955e-05
204,11,1,15,3.1604007677681994e-05
205,11,1,16,6.10810613674608e-05
206,11,1,17,0.00013397655512873208
207,11,1,18,0.0003526268155680296
208,11,1,2,3.976090675889316e-07
209,11,1,3,4.906852388196248e-07
210,11,1,4,6.126536664323558e-07
211,11,1,5,7.749697824404947e-07
212,11,1,6,9.947570003639987e-07
213,11,1,7,1.298243364422002e-06
214,11,1,8,1.72673636534582e-06
215,11,1,9,2.3473881501286514e-06
216,12,2,1,2.535310381419849e-07
217,12,2,10,1.9034087421286347e-06
218,12,2,11,2.5715111211560085e-06
219,12,2,12,3.5579793998381124e-06
220,12,2,13,5.0618789445138835e-06
221,12,2,14,7.442288100546033e-06
222,12,2,15,1.1381948872641872e-05
223,12,2,16,1.8263004447423926e-05
224,12,2,17,3.110531935582146e-05
225,12,2,18,5.716902867188275e-05
226,12,2,2,3.036422551797965e-07
227,12,2,3,3.6674094795844415e-07
228,12,2,4,4.470754433877606e-07
229,12,2,5,5.505996197941901e-07
230,12,2,6,6.858062345111055e-07
231,12,2,7,8.650351610862092e-07
232,12,2,8,1.1065933544679831e-06
233,12,2,9,1.4382775416501823e-06
234,12,3,1,1.9630103321911463e-07
235,12,3,10,1.4765364412184722e-06
236,12,3,11,1.9957564750788137e-06
237,12,3,12,2.7630082417859816e-06
238,12,3,13,3.933884169397608e-06
239,12,3,14,5.7895735570574035e-06
240,12,3,15,8.866007760988927e-06
241,12,3,16,1.4251509794018245e-05
242,12,3,17,2.4333725526926944e-05
243,12,3,18,4.488421518819504e-05
244,12,3,2,2.351248790133587e-07
245,12,3,3,2.840189395188322e-07
246,12,3,4,3.4628061419176043e-07
247,12,3,5,4.2653275371985484e-07
248,12,3,6,5.313722418660172e-07
249,12,3,7,6.703889212712722e-07
250,12,3,8,8.578180258558366e-07
251,12,3,9,1.1152885399281234e-06
252,12,4,1,3.003993841241133e-07
253,12,4,10,2.304619518309498e-06
