,brick row,shoe column,shoe row,results
0,1,2,1,0.01293004548396278
1,1,2,10,1.1382019820161546e-05
2,1,2,11,7.4423263434089715e-06
3,1,2,12,5.061895461417899e-06
4,1,2,13,3.5579926510176464e-06
5,1,2,14,2.571516738687544e-06
6,1,2,15,1.903412191253192e-06
7,1,2,16,1.4382810718327917e-06
8,1,2,17,1.1065956761923562e-06
9,1,2,18,8.650368861191118e-07
10,1,2,2,0.012930045309184365
11,1,2,3,0.003859637428394088
12,1,2,4,0.0008152535719670592
13,1,2,5,0.0002731059678465101
14,1,2,6,0.0001162529149226842
15,1,2,7,5.7169740596893125e-05
16,1,2,8,3.110559551997406e-05
17,1,2,9,1.826312257998995e-05
18,1,3,1,0.013194108731707501
19,1,3,10,8.866054997261995e-06
20,1,3,11,5.789599038046905e-06
21,1,3,12,3.933894597032908e-06
22,1,3,13,2.7630171049549e-06
23,1,3,14,1.9957599529958575e-06
24,1,3,15,1.4765385521773916e-06
25,1,3,16,1.1152909043203104e-06
26,1,3,17,8.578195725701344e-07
27,1,3,18,6.703900823562126e-07
28,1,3,2,0.013194108434583223
29,1,3,3,0.0034667777621796426
30,1,3,4,0.0006608926321423706
31,1,3,5,0.00021738955376176343
32,1,3,6,9.17588421859135e-05
33,1,3,7,4.488468489065375e-05
34,1,3,8,2.4333905641506198e-05
35,1,3,9,1.4251585734786553e-05
36,1,4,1,0.013386809124079852
37,1,4,10,1.4459965966707928e-05
38,1,4,11,9.310758099727144e-06
39,1,4,12,6.2602355391436475e-06
40,1,4,13,4.361654812723523e-06
41,1,4,14,3.1306908977076463e-06
42,1,4,15,2.3046264128822128e-06
43,1,4,16,1.7337485503229973e-06
44,1,4,17,1.3290907162697214e-06
45,1,4,18,1.0358419720083474e-06
46,1,4,2,0.013386809107603792
47,1,4,3,0.005581805258948764
48,1,4,4,0.0014392374852592006
49,1,4,5,0.00044313719107647097
50,1,4,6,0.00017265877348005424
51,1,4,7,7.974157727974572e-05
52,1,4,8,4.1569526315065824e-05
53,1,4,9,2.3695002653118857e-05
54,1,1,1,0.014166786662275218
55,1,1,10,1.0907236135676663e-05
56,1,1,11,7.007581033332086e-06
57,1,1,12,4.704040872295695e-06
58,1,1,13,3.2734372795069506e-06
59,1,1,14,2.3473975430623288e-06
60,1,1,15,1.7267424313550578e-06
61,1,1,16,1.298247417129977e-06
62,1,1,17,9.94759671176326e-07
63,1,1,18,7.749717316103306e-07
64,1,1,2,0.014166786643250807
65,1,1,3,0.005377605268014378
66,1,1,4,0.0012138556503343996
67,1,1,5,0.0003526412147240666
68,1,1,6,0.0001339799723120365
69,1,1,7,6.10820992264858e-05
70,1,1,8,3.160438962791732e-05
71,1,1,9,1.792990216903602e-05
72,10,2,1,5.506003126329172e-07
73,10,2,10,7.442323894303871e-06
74,10,2,11,1.1382015662773606e-05
75,10,2,12,1.826311926369984e-05
76,10,2,13,3.110560192131313e-05
77,10,2,14,5.716974952849931e-05
78,10,2,15,0.00011625292528681112
79,10,2,16,0.000273105965085776
80,10,2,17,0.0008152532400570978
81,10,2,18,0.003859642045090494
82,10,2,2,6.85807194796928e-07
83,10,2,3,8.650355026230615e-07
84,10,2,4,1.1065950555346903e-06
85,10,2,5,1.4382800795988725e-06
86,10,2,6,1.9034108555150877e-06
87,10,2,7,2.571514898760718e-06
88,10,2,8,3.557990048125571e-06
89,10,2,9,5.061894796887129e-06
90,10,3,1,4.2653320957744834e-07
91,10,3,10,5.789597353526523e-06
92,10,3,11,8.86605212456339e-06
93,10,3,12,1.4251583798144785e-05
94,10,3,13,2.433391185125498e-05
95,10,3,14,4.488469432335877e-05
96,10,3,15,9.175885577933737e-05
97,10,3,16,0.0002173895657433732
98,10,3,17,0.0006608924091915056
99,10,3,18,0.003466782097544032
100,10,3,2,5.313728734147087e-07
101,10,3,3,6.703890263931317e-07
102,10,3,4,8.578191133426132e-07
103,10,3,5,1.1152901651375867e-06
104,10,3,6,1.476537558595094e-06
105,10,3,7,1.9957585865064113e-06
106,10,3,8,2.763015174856345e-06
107,10,3,9,3.9338942211715325e-06
108,10,4,1,6.562580736007966e-07
109,10,4,10,9.310754923130482e-06
110,10,4,11,1.44599604526578e-05
111,10,4,12,2.369499809602025e-05
112,10,4,13,4.156953398141559e-05
113,10,4,14,7.974158728461457e-05
114,10,4,15,0.0001726587811581385
115,10,4,16,0.000443137160227795
116,10,4,17,0.0014392368538574168
117,10,4,18,0.005581811814208522
118,10,4,2,8.191551794801971e-07
119,10,4,3,1.0358403133934802e-06
120,10,4,4,1.3290899668193307e-06
121,10,4,5,1.7337473484879404e-06
122,10,4,6,2.3046247864852608e-06
123,10,4,7,3.130688642752568e-06
124,10,4,8,4.3616515962710584e-06
125,10,4,9,6.260234687320487e-06
126,10,1,1,4.906865351960104e-07
127,10,1,10,7.007578631509126e-06
128,10,1,11,1.0907231952338141e-05
129,10,1,12,1.792989869392394e-05
130,10,1,13,3.160439535052133e-05
131,10,1,14,6.108210655366887e-05
132,10,1,15,0.0001339799769387641
133,10,1,16,0.0003526411829699729
134,10,1,17,0.0012138550484991997
135,10,1,18,0.0053776114516481755
136,10,1,2,6.126548093220438e-07
137,10,1,3,7.749704905964499e-07
138,10,1,4,9.947591099627927e-07
139,10,1,5,1.2982465167607346e-06
140,10,1,6,1.726741212073432e-06
