,brick row,shoe column,shoe row,results
69,4,4,3,0.00013446250144608394
70,14,3,7,2.7448014544947846e-07
71,5,2,3,2.965181469918416e-05
72,10,3,4,8.286050587986907e-07
73,12,3,7,6.476441781124748e-07
74,1,3,1,0.009122844526719723
75,8,2,8,1.7423809478692104e-05
76,14,1,17,6.265360228041636e-06
77,4,3,13,4.3092406463173476e-05
78,5,4,11,0.00540942146592483
79,14,4,7,3.256614662554184e-07
80,11,1,3,6.564369596834978e-07
81,3,2,5,0.013024903964225705
82,4,1,8,0.013449580703255972
83,6,2,18,2.9651868352752003e-05
84,10,1,14,7.994459852811206e-05
85,11,2,13,1.086545904113797e-05
86,12,4,6,6.128425188659911e-07
87,15,3,4,1.1538688650393543e-07
88,15,1,8,3.6027299348644963e-07
89,11,3,5,6.476441587127723e-07
90,15,2,12,6.559003048535603e-07
91,3,2,9,0.0002592188012313457
92,16,2,16,1.0581567378858448e-06
93,2,1,15,4.3646577072275096e-06
94,15,1,15,1.7345123073199846e-06
95,1,1,14,2.155418846312946e-06
96,3,1,7,0.0056106357464416
97,7,4,17,0.00035437263284858234
98,18,2,3,3.865849762051183e-08
99,18,4,9,8.030346527406603e-08
100,16,1,5,1.5627594901741962e-07
101,17,2,5,9.478829605620268e-08
102,2,1,10,4.165032183162329e-05
103,6,1,2,9.319937792707764e-06
104,11,3,13,8.54364848095843e-06
105,10,4,15,0.0001344627096162852
106,4,2,15,1.7423822134471872e-05
107,10,2,4,1.0581561406560385e-06
108,13,1,12,2.305791219077006e-06
109,11,1,12,9.319936536449991e-06
110,10,4,1,4.908213343014217e-07
111,6,4,11,0.014242394387511953
112,2,4,16,2.3487865219478874e-06
113,6,4,7,0.0001344626168077386
114,6,4,1,4.70793465286197e-06
115,1,4,12,3.239418776753302e-06
116,12,3,2,2.2724155484491744e-07
117,10,1,9,6.26535753445532e-06
118,4,4,9,0.005409411641130742
119,11,4,14,1.7957727815930903e-05
120,16,2,10,2.9046407951161494e-07
121,16,4,7,1.5971339236998083e-07
122,14,2,17,4.836001341702411e-06
123,8,4,18,0.00122131506449095
124,15,4,15,1.29882280538657e-06
125,9,3,3,1.0771357395040502e-06
126,3,4,4,0.005409409190827598
127,16,2,5,1.2661010610589998e-07
128,15,3,16,1.4257519719490269e-06
129,12,4,13,4.707936422233766e-06
130,15,1,10,5.320312224373158e-07
131,10,4,13,3.1667641207164323e-05
132,8,2,11,0.0001105300513626106
133,3,1,9,0.00044513020260033095
134,3,2,3,0.0007740348482556567
135,8,4,5,4.7079336649625975e-06
136,18,3,14,1.5635960620941392e-07
137,16,4,18,1.7276220051797142e-06
138,12,2,17,2.965186182221645e-05
139,12,2,10,1.819641308834347e-06
140,13,2,2,2.0408694945972628e-07
141,7,1,12,0.005610635532970492
142,16,1,11,4.3573935124206914e-07
143,17,3,15,4.1214593937755687e-07
144,12,1,16,2.373095636828366e-05
145,11,1,14,2.3730954648752754e-05
146,18,1,10,1.2539397685807281e-07
147,1,1,7,5.500799504670428e-05
148,7,2,17,0.0002592189813364333
149,18,2,16,2.942440985797671e-07
150,7,2,9,0.00011052996099778029
151,3,3,17,2.666554944956777e-06
152,10,4,9,4.707934480461975e-06
153,6,3,13,0.0033717013628393874
154,9,2,18,0.01302488225789239
155,12,4,12,3.2757107662636324e-06
156,5,2,12,0.0007740370843295183
157,9,3,12,4.309236091484326e-05
158,9,3,14,0.00020758449189829813
159,18,1,7,8.040079067115039e-08
160,4,4,12,0.00013446272654690024
161,17,2,14,4.2763290391610813e-07
162,9,1,11,4.165030088531414e-05
163,16,4,4,1.006426297631585e-07
164,10,3,1,4.121457530666321e-07
165,3,4,8,0.001221313978905474
166,2,2,1,0.0007740355706876571
167,4,4,17,7.014590759459783e-06
168,16,3,9,1.897292991024148e-07
169,18,3,6,4.445912683215161e-08
170,11,1,2,5.32030742775073e-07
171,11,1,8,2.3057913060684924e-06
172,15,2,15,1.3751684017614663e-06
173,5,3,1,8.543645273372574e-06
174,11,4,12,7.014587564173901e-06
175,4,2,8,0.013024875677906646
176,12,4,16,1.7957729128385314e-05
177,10,1,18,0.005610638971144316
178,5,1,10,0.01344959683435552
179,4,3,10,0.0006295927508292189
180,6,2,2,7.107756425502079e-06
181,1,4,14,1.6161446208441231e-06
182,18,2,17,3.623581753784733e-07
183,8,1,7,1.4477463534270052e-05
184,14,4,10,6.128431708672394e-07
185,8,4,11,0.00013446275829269097
186,18,2,9,8.711742610100537e-08
187,10,3,7,1.926655433777749e-06
188,4,2,10,0.0007740380063134941
189,16,4,14,6.128428129461017e-07
190,10,2,17,0.0007740358964098784
191,5,1,9,0.01344959636495032
192,4,2,17,7.107758684387474e-06
193,13,4,12,1.7276213029363604e-06
194,13,3,13,1.926656384759503e-06
195,1,3,3,0.002319983723202521
196,12,2,5,5.266247055783741e-07
197,4,4,1,3.166763547852693e-05
198,17,3,13,2.744802772502059e-07
199,12,2,15,1.0865459693707762e-05
200,3,4,10,0.0001344628770384077
201,5,3,6,0.0002075843595990409
202,7,3,9,8.7890090653171e-05
203,17,3,1,4.392932999541607e-08
204,3,4,6,0.014242360866655335
205,16,2,11,3.508097405698929e-07
206,18,4,8,6.924981814800236e-08
207,11,2,15,2.965186446203745e-05
208,4,4,8,0.014242360867039379
209,4,1,10,0.0014470322639736648
210,1,1,15,1.5865614191869233e-06
211,10,3,8,2.666554007361837e-06
212,13,2,17,1.0865458865358398e-05
213,10,1,16,0.0004451301777396519
214,11,1,4,8.194050947508385e-07
215,16,4,16,9.951467018973752e-07
216,10,4,17,0.00122131261310299
217,12,3,16,1.3721505648987079e-05
218,16,2,6,1.4753285929493057e-07
219,6,3,18,2.3401035279336044e-05
220,3,4,16,4.707936663424317e-06
221,9,3,13,8.78901137010866e-05
222,16,3,7,1.352779203592785e-07
223,13,4,7,4.908212969406032e-07
224,9,1,17,0.013449602197221059
225,5,3,16,2.3401038074509205e-05
226,3,1,6,0.013449580703142767
227,17,1,6,1.3477586148634868e-07
228,18,4,6,5.230161942590265e-08
229,6,3,4,1.3721494788320765e-05
230,3,3,11,4.309242358196082e-05
231,1,4,17,6.847368775655292e-07
232,15,4,17,2.3487861382188e-06
233,5,2,4,5.443686118834895e-05
234,15,3,1,7.412407436481378e-08
235,6,3,1,3.795125469097413e-06
236,14,3,17,3.7951269606207268e-06
237,6,4,4,1.795771461697388e-05
